gene_name,transcript_id
AGT,NM_001384479.1
AGT,ENST00000366667.6
AGT,ENST00000680783.1
AGT,ENST00000680041.1
AP4B1,NM_001253852.3
AP4B1,ENST00000369569.6
AP4B1,ENST00000256658.8
AP4B1,ENST00000369567.5
CAT,NM_001752.4
CAT,ENST00000241052.5
CAT,ENST00000650153.1
CAT,ENST00000530343.1
COL4A1,NM_001845.6
COL4A1,ENST00000375820.10
COL4A1,ENST00000543140.6
COL4A1,ENST00000650424.1
IL1B,NM_000576.3
IL1B,ENST00000263341.7
IL1B,ENST00000418817.5
IL1B,ENST00000432018.5
IL6,NM_000600.5
IL6,ENST00000258743.10
IL6,ENST00000404625.5
IL6,ENST00000407492.5
MTHFR,NM_005957.5
MTHFR,ENST00000376590.9
MTHFR,ENST00000376592.6
MTHFR,ENST00000376585.6
NOS3,NM_000603.5
NOS3,ENST00000297494.8
NOS3,ENST00000484524.5
NOS3,ENST00000467517.1
OLIG2,NM_005806.4
OLIG2,ENST00000382357.4
OLIG2,ENST00000333337.3
OLIG2,ENST00000430860.1
TNF,NM_000594.4
TNF,ENST00000449264.3
IL10,NM_000572.3
IL10,ENST00000423557.1
IL10,ENST00000659642.1
IL10,ENST00000659065.1
CARD8,NM_001184900.3
CARD8,ENST00000651546.1
CARD8,ENST00000391898.7
CARD8,ENST00000447740.6
